Team,"Name of University (If Applicable)",Address,"M/F or Coed","Team Email:",Active,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"UTD Raftaar","Univeristy of Texas - Dallas","Dallas, TX",M,raftaardallas@gmail.com,Y,32.781179,-96.790329,1,place,,,,,Dallas,TX,"Dallas County",75201,US,"TIGER/Line® dataset from the US Census Bureau"
"UTK Mayuri","University of Tennessee Knoxville","Knoxville, TN",F,utkmayuri@gmail.com,Y,36.032334,-83.884804,1,place,,,,,Knoxville,TN,"Knox County",37901,US,"TIGER/Line® dataset from the US Census Bureau"
"UTSA Sapna","University of Texas - San Antonio","San Antonio, TX",F,utsasapna@gmail.com,Y,29.468413,-98.528889,1,place,,,,,"San Antonio",TX,"Bexar County",78201,US,"TIGER/Line® dataset from the US Census Bureau"
"UVA Sharaara","University of Virginia","Charlottesville, VA ",F,sharaara@virginia.edu,Y,38.026588,-78.48045,1,place,,,,,Charlottesville,VA,"Charlottesville city",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"UW Kahaani","University of Washington","Seattle, WA",Coed,bkahaani@uw.edu,Y,47.432251,-121.803388,1,place,,,,,Seattle,WA,"King County",98060,US,"TIGER/Line® dataset from the US Census Bureau"
"VT Junoon","Virginia Tech","Blacksburg, VA",Coed,vtjunoon@gmail.com,Y,37.256283,-80.43473,1,place,,,,,Blacksburg,VA,"Montgomery County",24060,US,"TIGER/Line® dataset from the US Census Bureau"
"VT Virodh","Virginia Tech","Blacksburg, VA",M,vtvirodh@gmail.com,Y,37.256283,-80.43473,1,place,,,,,Blacksburg,VA,"Montgomery County",24060,US,"TIGER/Line® dataset from the US Census Bureau"
"VU Lakshya","Vanderbilt University","Nashville, TN",Coed,vulakshya@gmail.com,Y,36.165688,-86.778098,1,place,,,,,Nashville,TN,"Davidson County",37201,US,"TIGER/Line® dataset from the US Census Bureau"
"WashU Chaahat","Washington University of Saint Louis","St Louis, MO",Coed,washuchaahat@gmail.com,Y,38.631501,-90.19231,1,place,,,,,"Saint Louis",MO,"St. Louis city",63101,US,"TIGER/Line® dataset from the US Census Bureau"
"William & Mary Afsana","College of William and Mary","Williamsburg, VA ",Coed,afsana@email.wm.edu,Y,37.310451,-76.746769,1,place,,,,,Williamsburg,VA,"Williamsburg city",23186,US,"TIGER/Line® dataset from the US Census Bureau"
"Wisconsin Surma","University of Wisconsin Madison","Madison, WI",Coed,wisconsinsurma@gmail.com,Y,43.06956,-89.423861,1,place,,,,,Madison,WI,"Dane County",53701,US,"TIGER/Line® dataset from the US Census Bureau"
"WSU Warrior Jhatka","Wayne State University","Detroit, MI ",Coed,bollywoodjhatka@gmail.com,Y,42.347021,-83.060184,1,place,,,,,Detroit,MI,"Wayne County",48201,US,"TIGER/Line® dataset from the US Census Bureau"
"QC Fanaa","CUNY Queens College","Flushings, NY",F,qcfanaa@gmail.com,Y,40.780747,-73.825301,1,place,,,,,Flushing,NY,"Queens County",11351,US,"TIGER/Line® dataset from the US Census Bureau"
"Brandeis Chak De","Brandeis University","Waltham, MA",Coed,brandeischakde@gmail.com,Y,42.388938,-71.2398,1,place,,,,,Waltham,MA,"Middlesex County",02154,US,"TIGER/Line® dataset from the US Census Bureau"
"Arizona Angara","University of Arizona","Tucson, AZ",Coed,ua.angara@gmail.com,N,32.217975,-110.970869,1,place,,,,,Tucson,AZ,"Pima County",85701,US,"TIGER/Line® dataset from the US Census Bureau"
"EuphorEk Ada",-,"New York City, NY",F,euphorekada@gmail.com,N,40.68863,-74.018244,1,place,,,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
Garv,-,"Los Angeles, CA",Coed,,N,33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia Tech Inteha","Georgia Institute of Technology","Atlanta, GA ",Coed,gtinteha@gmail.com,N,33.844371,-84.47405,1,place,,,,,Atlanta,GA,"Fulton County",30301,US,"TIGER/Line® dataset from the US Census Bureau"
"GU Bindaas","Georgetown University","Washington, DC",F,gubindaas@gmail.com,N,38.911936,-77.016719,1,place,,,,,Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
"MHC Jhumka","Mount Holyoke College","South Hadley, MA",F,mhc.jhumkies@gmail.com,N,42.24984,-72.58152,1,place,,,,,"South Hadley",MA,"Hampshire County",01075,US,"TIGER/Line® dataset from the US Census Bureau"
"MIT Chamak","Massachusetts Institute of Technology","Cambridge, MA",F,chamakboard@mit.edu,N,42.380442,-71.132947,1,place,,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
"Northwestern Anubhav","Northwestern University","Evanston, IL ",Coed,nufilmi@gmail.com,N,42.049148,-87.702155,1,place,,,,,Evanston,IL,"Cook County",60201,US,"TIGER/Line® dataset from the US Census Bureau"
"OSU Nashaa","Ohio State University","Columbus, OH",Coed,osunashaa@gmail.com,N,40.100924,-83.013402,1,place,,,,,Columbus,OH,"Franklin County",43085,US,"TIGER/Line® dataset from the US Census Bureau"
"Pitt Zisha","University of Pittsburgh","Pittsburgh, PA",F,zisha.pitt@gmail.com,N,40.47441,-79.950968,1,place,,,,,Pittsburgh,PA,"Allegheny County",15201,US,"TIGER/Line® dataset from the US Census Bureau"
"Ryerson Infuzion","Ryerson University","Toronto, Canada",Coed,saa.ryerson@gmail.com,N,43.653963,-79.387207,0.8,place,,,,,Toronto,ON,,M5G,CA,"CanVec+ by Natural Resources Canada"
"Stanford Dil Se","Stanford University","Stanford, CA",Coed,whatdoesyourdilse@gmail.com,N,37.42509,-122.1675,1,place,,,,,Stanford,CA,"Santa Clara County",94305,US,"TIGER/Line® dataset from the US Census Bureau"
"The Men of Dance Project",-,"Chicago, IL ",M,the.mod.project@gmail.com,N,41.88531,-87.62213,1,place,,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
"UA Om Shanti","University of Arizona","Tucson, AZ",Coed,uaomshanti@gmail.com,N,32.217975,-110.970869,1,place,,,,,Tucson,AZ,"Pima County",85701,US,"TIGER/Line® dataset from the US Census Bureau"
"UCI Fidaa","University of California - Irvine","Irvine, CA",Coed,ucifidaa@gmail.com,N,33.757245,-117.750414,1,place,,,,,Irvine,CA,"Orange County",92602,US,"TIGER/Line® dataset from the US Census Bureau"
"UH Nuria","University of Houston","Houston, TX",Coed,uhnuriadance@gmail.com,N,29.813142,-95.309789,1,place,,,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® dataset from the US Census Bureau"
"UIUC Haus of Chiefs","University of Illinois - Urbana Champaign","Champaign, IL",M,hausofchiefs@gmail.com,N,40.10789,-88.244266,1,place,,,,,Champaign,IL,"Champaign County",61820,US,"TIGER/Line® dataset from the US Census Bureau"
"USF Fizaa","University of South Florida","Tampa, FL ",F,usffizaa@gmail.com,N,27.996097,-82.582035,1,place,,,,,Tampa,FL,"Hillsborough County",33601,US,"TIGER/Line® dataset from the US Census Bureau"
"UT Jazba","University of Texas - Austin","Austin, TX",Coed,jazbadanceteam@gmail.com,N,30.326374,-97.771258,1,place,,,,,Austin,TX,"Travis County",73301,US,"TIGER/Line® dataset from the US Census Bureau"
"UTD Chalak","University of Texas - Dallas","Dallas, TX",Coed,chalakutd@gmail.com,N,32.781179,-96.790329,1,place,,,,,Dallas,TX,"Dallas County",75201,US,"TIGER/Line® dataset from the US Census Bureau"
"UTD Sharara","University of Texas - Dallas","Dallas, TX",Coed,shararautd@gmail.com,N,32.781179,-96.790329,1,place,,,,,Dallas,TX,"Dallas County",75201,US,"TIGER/Line® dataset from the US Census Bureau"
"VCU Jhoom","Virginia Commonwealth University","Richmond, VA",F,vcujhoomfusion@gmail.com,N,37.524246,-77.493157,1,place,,,,,Richmond,VA,"Richmond city",23218,US,"TIGER/Line® dataset from the US Census Bureau"
"Wanted Ashiqz",-,"New York City, NY",M,info@thewantedashiqz.com,N,40.68863,-74.018244,1,place,,,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"Zara Dance Team",-,"Chicago, IL",F,zara.dance.team@gmail.com,N,41.88531,-87.62213,1,place,,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
